Scheme Name	Net Asset Value
Baroda BNP Paribas Energy Opportunities Fund - Regular Plan - Growth Option	11.3956
Baroda BNP Paribas Energy Opportunities Fund - Regular Plan - ICDW Option	11.3956
Baroda BNP Paribas Health and Wellness Fund Direct Growth	9.8366
Baroda BNP Paribas Health and Wellness Fund Direct IDCWPayout	9.8366
Baroda BNP Paribas Health and Wellness Fund Regular Growth	9.7769
Baroda BNP Paribas Health and Wellness Fund Regular IDCWPayout	9.7769
BARODA BNP PARIBAS India Consumption Fund - Direct Plan - Growth Option	36.1305
BARODA BNP PARIBAS India Consumption Fund - Direct Plan - IDCW Option	25.1100
BARODA BNP PARIBAS India Consumption Fund - Regular Plan - Growth Option	32.4949
BARODA BNP PARIBAS India Consumption Fund - Regular Plan - IDCW Option	21.8894
Baroda BNP Paribas Innovation Fund Direct plan - Growth Option	12.8839
Baroda BNP Paribas Innovation Fund Direct plan - IDCW Option	12.8839
Baroda BNP Paribas Innovation Fund Regular plan - Growth Option	12.5621
Baroda BNP Paribas Innovation Fund Regular plan - IDCW Option	12.4356
Baroda BNP Paribas Manufacturing Fund - Direct Plan - Growth Option	10.0753
Baroda BNP Paribas Manufacturing Fund - Direct Plan - IDCW Option	10.0753
Baroda BNP Paribas Manufacturing Fund - Regular Plan - Growth Option	9.8762
Baroda BNP Paribas Manufacturing Fund - Regular Plan - IDCW Option	9.8762
CANARA ROBECO CONSUMER TRENDS FUND - DIRECT PLAN - GROWTH OPTION	130.4800
CANARA ROBECO CONSUMER TRENDS FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	89.0400
CANARA ROBECO CONSUMER TRENDS FUND - REGULAR PLAN - GROWTH OPTION	113.1100
CANARA ROBECO CONSUMER TRENDS FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	48.6000
CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION	183.7100
CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	87.7300
CANARA ROBECO INFRASTRUCTURE FUND - REGULAR PLAN - GROWTH OPTION	162.8600
CANARA ROBECO INFRASTRUCTURE FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	62.5100
Canara Robeco Manufacturing Fund - Direct Plan - Growth Option	13.0500
Canara Robeco Manufacturing Fund - Direct Plan - IDWC Option	13.0500
Canara Robeco Manufacturing Fund - Regular Plan - Growth Option	12.7600
Canara Robeco Manufacturing Fund -Regular Plan - IDWC Option	12.7500
DSP Banking & Financial Services Fund - Direct - Growth	14.264
DSP Banking & Financial Services Fund - Direct - IDCW	13.174
DSP Banking & Financial Services Fund - Regular - Growth	13.868
DSP Banking & Financial Services Fund - Regular - IDCW	13.868
DSP Business Cycle Fund - Direct - Growth	10.408
DSP Business Cycle Fund - Direct - IDCW	10.408
DSP Business Cycle Fund - Regular - Growth	10.272
DSP Business Cycle Fund - Regular - IDCW	10.272
DSP Healthcare Fund - Direct Plan - Growth	43.854
DSP Healthcare Fund - Direct Plan - IDCW	27.532
DSP Healthcare Fund - Regular Plan - Growth	39.592
DSP Healthcare Fund - Regular Plan - IDCW	24.909
DSP India T.I.G.E.R. Fund - Direct Plan - Growth	345.058
DSP India T.I.G.E.R. Fund - Direct Plan - IDCW	55.063
DSP India T.I.G.E.R. Fund - Regular Plan - Growth	316.457
DSP India T.I.G.E.R. Fund - Regular Plan - IDCW	29.731
DSP Natural Resources and New Energy Fund - Direct Plan - Growth	105.698
DSP Natural Resources and New Energy Fund - Direct Plan - IDCW	36.419
DSP Natural Resources And New Energy Fund - Regular - Growth	94.726
DSP Natural Resources And New Energy Fund - Regular Plan - IDCW	30.305
DSP Quant Fund - Direct Plan - Growth	23.098
DSP Quant Fund - Direct Plan - IDCW	19.142
DSP Quant Fund - Regular Plan - Growth	22.039
DSP Quant Fund - Regular Plan - IDCW	18.242
Edelweiss Business Cycle Fund - Direct Plan - Growth	9.1002
Edelweiss Business Cycle Fund - Direct Plan - IDCW Option	9.1002
Edelweiss Business Cycle Fund - Regular Plan - Growth	8.9168
Edelweiss Business Cycle Fund - Regular Plan - IDCW Option	8.9168
Edelweiss Consumption Fund - Direct - Growth	11.7655
Edelweiss Consumption Fund - Direct - IDCW - Payout	11.7655
Edelweiss Consumption Fund - Regular - Growth	11.6296
Edelweiss Consumption Fund - Regular - IDCW - Payout	11.6296
Edelweiss Recently Listed IPO Fund - DIRECT PLAN - IDCW Option	29.5784
Edelweiss Recently Listed IPO Fund Direct Plan Growth	29.5783
Edelweiss Recently Listed IPO Fund REGULAR PLAN - IDCW Option	27.5307
Edelweiss Recently Listed IPO Fund Regular Plan Growth	27.5322
Edelweiss Technology Fund - Direct Plan - Growth	12.478
Edelweiss Technology Fund - Direct Plan - IDCW	12.478
Edelweiss Technology Fund - Regular Plan - Growth	12.1282
Edelweiss Technology Fund - Regular Plan - IDCW	12.1282
Franklin Asian Equity Fund - Direct - Growth	37.9423
Franklin Asian Equity Fund - Direct - IDCW	17.3742
Franklin Asian Equity Fund - Growth Plan	34.6234
Franklin Asian Equity Fund - IDCW	16.3429
Franklin Build India Fund - Direct - Growth	168.3576
Franklin Build India Fund - Direct - IDCW	55.2790
Franklin Build India Fund - IDCW	45.6489
Franklin Build India Fund Growth Plan	145.9909
Franklin India Opportunities Fund - Direct - Growth	289.0955
Franklin INDIA OPPORTUNITIES FUND - Direct - IDCW	42.1612
Franklin India Opportunities Fund - Growth	261.1883
Franklin INDIA OPPORTUNITIES FUND - IDCW	37.4651
Franklin India Technology Fund - Direct - Growth	577.9359
Franklin India Technology Fund - Direct - IDCW	50.3674
Franklin India Technology Fund - IDCW	45.1112
Franklin India Technology Fund-Growth	523.4328
Groww Banking & Financial Services Fund - Direct Plan - Growth	12.376
Groww Banking & Financial Services Fund - Regular - Growth	11.9711
Groww Banking & Financial Services Fund - Regular Plan - IDCW	11.9711
Groww Banking & Financial Services Fund-IDCW	12.3752
HDFC Banking & Financial Services Fund - Growth Option	17.6
HDFC Banking & Financial Services Fund - Growth Option - Direct Plan	18.736
HDFC Banking & Financial Services Fund - IDCW Option	15.449
HDFC Banking & Financial Services Fund - IDCW Option - Direct Plan	16.559
HDFC Business Cycle Fund - Growth Option	15.146
HDFC Business Cycle Fund - Growth Option - Direct Plan	15.711
HDFC Business Cycle Fund - IDCW Option	15.146
HDFC Business Cycle Fund - IDCW Option - Direct Plan	15.711
HDFC Defence Fund - Growth Option	24.683
HDFC Defence Fund - Growth Option - Direct Plan	25.377
HDFC Defence Fund - IDCW Option	24.683
HDFC Defence Fund - IDCW Option - Direct Plan	25.377
HDFC Housing Opportunities Fund  - Growth Option	22.897
HDFC Housing Opportunities Fund  - Growth Option - Direct Plan	24.813
HDFC Housing Opportunities Fund  - IDCW Option	16.414
HDFC Housing Opportunities Fund  - IDCW Option - Direct Plan	18.194
HDFC Infrastructure Fund - Growth Option - Direct Plan	53.762
HDFC Infrastructure Fund - Growth Plan	48.514
HDFC Infrastructure Fund - IDCW Option - Direct Plan	32.9
HDFC Infrastructure Fund - IDCW Plan	20.806
HDFC INNOVATION FUND - DIRECT PLAN - GROWTH OPTION	10.47
HDFC INNOVATION FUND - IDCW - DIRECT PLAN	10.47
HDFC INNOVATION FUND - IDCW - REGULAR PLAN	10.432
HDFC INNOVATION FUND - REGULAR PLAN - GROWTH OPTION	10.432
HDFC Manufacturing fund - Growth Option - Direct Plan	11.358
HDFC Manufacturing fund - Growth Option - Regular Plan	11.167
HDFC Manufacturing fund - IDCW - Direct Plan	11.358
HDFC Manufacturing fund - IDCW - Regular Plan	11.167
HDFC MNC Fund - Growth Option	13.703
HDFC MNC Fund - Growth Option - Direct Plan	14.14
HDFC MNC Fund - IDCW Option	13.703
HDFC MNC Fund - IDCW Option - Direct Plan	14.14
HDFC Non-Cyclical Consumer Fund - Growth Option	14.692
HDFC Non-Cyclical Consumer Fund - Growth Option - Direct Plan	15.109
HDFC Non-Cyclical Consumer Fund - IDCW Option	14.692
HDFC Non-Cyclical Consumer Fund - IDCW Option - Direct Plan	15.109
HDFC Pharma and Healthcare Fund - Growth Option	17.286
HDFC Pharma and Healthcare Fund - Growth Option - Direct Plan	17.725
HDFC Pharma and Healthcare Fund - IDCW Option	17.286
HDFC Pharma and Healthcare Fund - IDCW Option - Direct Plan	17.725
HDFC Technology Fund - Growth Option	13.723
HDFC Technology Fund - Growth Option - Direct Plan	14.082
HDFC Technology Fund - IDCW Option	13.723
HDFC Technology Fund - IDCW Option - Direct Plan	14.082
HDFC Transportation and Logistics Fund - Growth Option	18.255
HDFC Transportation and Logistics Fund - Growth Option - Direct Plan	18.743
HDFC Transportation and Logistics Fund - IDCW Option	18.255
HDFC Transportation and Logistics Fund - IDCW Option - Direct Plan	18.743
Helios Financial Services Fund - Direct Plan - Growth Option	12.22
Helios Financial Services Fund - Direct Plan - IDCW Option	12.22
Helios Financial Services Fund - Regular Plan - Growth Option	11.96
Helios Financial Services Fund - Regular Plan - IDCW Option	11.97
HSBC Business Cycles Fund - Direct Growth	47.5052
HSBC Business Cycles Fund - Direct IDCW	27.3812
HSBC Business Cycles Fund - Regular Growth	43.0272
HSBC Business Cycles Fund - Regular IDCW	24.9366
HSBC Consumption Fund - Direct Growth	15.5002
HSBC Consumption Fund - Direct IDCW	15.5002
HSBC Consumption Fund - Regular Growth	15.0527
HSBC Consumption Fund - Regular IDCW	15.0527
HSBC Financial Services Fund - Direct Growth	12.0099
HSBC Financial Services Fund - Direct IDCW	12.0097
HSBC Financial Services Fund - Regular Growth	11.8995
HSBC Financial Services Fund - Regular IDCW	11.8996
HSBC India Export Opportunities Fund - Direct Growth	10.0416
HSBC India Export Opportunities Fund - Direct IDCW	10.0416
HSBC India Export Opportunities Fund - Regular Growth	9.8913
HSBC India Export Opportunities Fund - Regular IDCW	9.8913
HSBC Infrastructure Fund - Direct Growth	52.8417
HSBC Infrastructure Fund - Direct IDCW	37.8847
HSBC Infrastructure Fund - Regular Growth	46.8731
HSBC Infrastructure Fund - Regular IDCW	33.9615
ICICI Prudential Active Momentum Fund - Direct Plan - Growth	10.31
ICICI Prudential Active Momentum Fund - Growth	10.28
ICICI Prudential Banking and Financial Services Fund -  Growth	137.30
ICICI Prudential Banking and Financial Services Fund -  IDCW	31.95
ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth	154.90
ICICI Prudential Banking and Financial Services Fund - Direct Plan -  IDCW	76.91
ICICI Prudential Bharat Consumption Fund - Direct Plan - Growth Option	28.25
ICICI Prudential Bharat Consumption Fund - Direct Plan - IDCW Option	19.99
ICICI Prudential Bharat Consumption Fund - Growth Option	26.23
ICICI Prudential Bharat Consumption Fund - IDCW Option	18.16
ICICI Prudential Business Cycle Fund Direct Plan Growth	26.92
ICICI Prudential Business Cycle Fund Direct Plan IDCW	21.15
ICICI Prudential Business Cycle Fund Growth	25.42
ICICI Prudential Business Cycle Fund IDCW	19.73
ICICI Prudential Commodities Fund - Direct Plan - Growth Option	47.04
ICICI Prudential Commodities Fund - Direct Plan - IDCW Option	33.45
ICICI Prudential Commodities Fund - Growth Option	43.46
ICICI Prudential Commodities Fund - IDCW Option	30.21
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - Growth	10.50
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - IDCW	10.49
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Growth	10.33
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - IDCW	10.33
ICICI Prudential Equity Minimum Variance Fund - Direct Plan - Growth	10.97
ICICI Prudential Equity Minimum Variance Fund - Direct Plan - IDCW	10.97
ICICI Prudential Equity Minimum Variance Fund - Growth	10.85
ICICI Prudential Equity Minimum Variance Fund - IDCW	10.85
ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan - Growth	24.59
ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan - IDCW	18.78
ICICI Prudential ESG Exclusionary Strategy Fund - Growth	23.01
ICICI Prudential ESG Exclusionary Strategy Fund - IDCW	17.33
ICICI Prudential Exports & Services Fund - Direct Plan - Growth	183.78
ICICI Prudential Exports & Services Fund - Direct Plan - IDCW	78.17
ICICI Prudential Exports & Services Fund - Growth	168.48
ICICI Prudential Exports & Services Fund - IDCW	37.97
ICICI Prudential FMCG Fund - Direct Plan -  Growth	536.32
ICICI Prudential FMCG Fund - Direct Plan -  IDCW	176.08
ICICI Prudential FMCG Fund - Growth	485.38
ICICI Prudential FMCG Fund - IDCW	89.71
ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND - Direct Plan Growth	18.48
ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND - Direct Plan IDCW	16.99
ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND - Growth	17.67
ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND - IDCW	16.20
ICICI Prudential India Opportunities Fund - Cumulative Option	36.88
ICICI Prudential India Opportunities Fund - Direct Plan - Cumulative Option	40.27
ICICI Prudential India Opportunities Fund - Direct Plan - IDCW Option	26.90
ICICI Prudential India Opportunities Fund - IDCW Option	23.86
ICICI Prudential Infrastructure Fund - Direct Plan -  Growth	217.13
ICICI Prudential Infrastructure Fund - Direct Plan -  IDCW	50.12
ICICI Prudential Infrastructure Fund - Growth	199.77
ICICI Prudential Infrastructure Fund - IDCW	30.81
ICICI Prudential Innovation Fund - Direct Plan - Growth	19.74
ICICI Prudential Innovation Fund - Direct Plan - IDCW	18.13
ICICI Prudential Innovation Fund - Growth	19.17
ICICI Prudential Innovation Fund - IDCW	17.58
ICICI Prudential Manufacturing Fund - Cumulative Option	36.02
ICICI Prudential Manufacturing Fund - Direct Plan - Cumulative Option	38.90
ICICI Prudential Manufacturing Fund - Direct Plan - IDCW Option	25.23
ICICI Prudential Manufacturing Fund - IDCW Option	22.72
ICICI Prudential MNC Fund - Direct Plan - Growth Option	31.51
ICICI Prudential MNC Fund - Direct Plan - IDCW Option	20.60
ICICI Prudential MNC Fund - Growth Option	29.02
ICICI Prudential MNC Fund - IDCW Option	18.46
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Cumulative Option	40.43
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Cumulative Option	43.65
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - IDCW Option	26.36
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - IDCW Option	23.59
ICICI Prudential PSU Equity Fund - Direct Plan - Growth	21.96
ICICI Prudential PSU Equity Fund - Direct Plan - IDCW	20.18
ICICI Prudential PSU Equity Fund - Growth	21.02
ICICI Prudential PSU Equity Fund - IDCW	19.26
ICICI Prudential Quality Fund - Direct Plan - Growth	10.48
ICICI Prudential Quality Fund - Direct Plan - IDCW	10.49
ICICI Prudential Quality Fund - Growth	10.43
ICICI Prudential Quality Fund - IDCW	10.43
ICICI Prudential Quant Fund Direct Plan Growth	23.99
ICICI Prudential Quant Fund Direct Plan IDCW	16.86
ICICI Prudential Quant Fund Growth	23.23
ICICI Prudential Quant Fund IDCW	16.21
ICICI Prudential Rural Opportunities Fund - Direct Plan - Growth	11.75
ICICI Prudential Rural Opportunities Fund - Direct Plan - IDCW	11.75
ICICI Prudential Rural Opportunities Fund - Growth	11.65
ICICI Prudential Rural Opportunities Fund - IDCW	11.65
ICICI Prudential Technology Fund - Direct Plan -  Growth	223.57
ICICI Prudential Technology Fund - Direct Plan -  IDCW	136.49
ICICI Prudential Technology Fund - Growth	200.69
ICICI Prudential Technology Fund - IDCW	62.67
ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND - Direct Plan - Growth	21.48
ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND - Direct Plan - IDCW	19.81
ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND - Growth	20.67
ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND - IDCW	19.02
ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth	77.18
ICICI Prudential US Bluechip Equity Fund - Direct Plan -  IDCW	77.17
ICICI Prudential US Bluechip Equity Fund - Growth	68.96
ICICI Prudential US Bluechip Equity Fund - IDCW	68.96
Invesco India Business Cycle Fund - Direct Plan - Growth	13.16
Invesco India Business Cycle Fund - Direct Plan - IDCW	13.16
Invesco India Business Cycle Fund - Growth	13.02
Invesco India Business Cycle Fund - IDCW	13.02
Invesco India ESG Integration Strategy Fund - Direct Plan - Growth	19.11
Invesco India ESG Integration Strategy Fund - Direct Plan - IDCW (Payout / Reinvestment)	15.59
Invesco India ESG Integration Strategy Fund - Growth	17.76
Invesco India ESG Integration Strategy Fund - IDCW (Payout / Reinvestment)	14.32
Invesco India Financial Services Fund - Direct Plan - Growth	169.52
Invesco India Financial Services Fund - Direct Plan - IDCW (Payout / Reinvestment)	87.26
Invesco India Financial Services Fund - Regular Plan -  IDCW (Payout / Reinvestment)	72.09
Invesco India Financial Services Fund - Retail Growth	141.35
Invesco India Infrastructure Fund - Direct Plan - Growth Option	76.9
Invesco India Infrastructure Fund - Direct Plan - IDCW (Payout / Reinvestment)	51.45
Invesco India Infrastructure Fund - Growth Option	63.77
Invesco India Infrastructure Fund - IDCW (Payout / Reinvestment)	40.99
Invesco India Manufacturing Fund - Direct - Growth	10.43
Invesco India Manufacturing Fund - Direct - IDCW	10.43
Invesco India Manufacturing Fund - Regular - Growth	10.24
Invesco India Manufacturing Fund - Regular - IDCW	10.24
Invesco India PSU Equity Fund - Direct Plan - Growth	77.54
Invesco India PSU Equity Fund - Direct Plan - IDCW (Payout / Reinvestment)	52.32
Invesco India PSU Equity Fund - Growth	65.16
Invesco India PSU Equity Fund - IDCW (Payout / Reinvestment)	43.11
Invesco India Technology Fund - Direct - Growth	9.95
Invesco India Technology Fund - Direct - IDCW	9.94
Invesco India Technology Fund - Regular - Growth	9.78
Invesco India Technology Fund - Regular - IDCW	9.77
ITI Banking and Financial Services Fund - Direct Plan - Growth Option	16.9400
ITI Banking and Financial Services Fund - Direct Plan - IDCW Option	16.9400
ITI Banking and Financial Services Fund - Regular Plan - IDCW Option	15.6749
ITI Banking and Financial Services Fund -Regular Plan - Growth Option	15.6749
ITI Bharat Consumption Fund - Direct Plan - Growth	11.9006
ITI Bharat Consumption Fund - Direct Plan - IDCW Option	11.9006
ITI Bharat Consumption Fund - Regular Plan - IDCW Option	11.7576
ITI Bharat Consumption Fund - Regular Plan Plan - Growth	11.7576
ITI Pharma and Healthcare Fund - Direct Plan - Growth Option	17.8445
ITI Pharma and Healthcare Fund - Direct Plan - IDCW Option	17.8445
ITI Pharma and Healthcare Fund - Regular Plan - Growth Option	16.4682
ITI Pharma and Healthcare Fund - Regular Plan - IDCW Option	16.4682
Kotak Active Momentum Fund - Direct Plan - Growth option	10.215
Kotak Active Momentum Fund - Direct Plan - IDCW - Payout and Reinvestment	10.215
Kotak Active Momentum Fund - Regular Plan - Growth	10.188
Kotak Active Momentum Fund - Regular Plan - IDCW - Payout & Reinvestment	10.188
Kotak Banking & Financial Services Fund - Direct Plan - Growth	16.733
Kotak Banking & Financial Services Fund - Direct Plan - IDCW Payout	16.73
Kotak Banking & Financial Services Fund - Regular Plan - Growth	16.043
Kotak Banking & Financial Services Fund - Regular Plan - IDCW Payout	16.043
Kotak Business Cycle - Direct Plan - Growth	17.551
Kotak Business Cycle Fund-Direct Plan-IDCW option	17.551
Kotak Business Cycle Fund-Regular Plan--Growth	16.736
Kotak Business Cycle Fund-Regular Plan-IDCW option	16.736
Kotak Consumption Fund - Direct plan - Growth Option	15.277
Kotak Consumption Fund - Direct plan - IDCW Option	15.275
Kotak Consumption Fund - Regular plan - Growth Option	14.805
Kotak Consumption Fund - Regular plan - IDCW Option	14.803
Kotak Energy Opportunities Fund-Direct-Growth	10.465
Kotak Energy Opportunities Fund-Direct-IDCW-Payout & Reinvestment	10.465
Kotak Energy Opportunities Fund-Regular-Growth	10.385
Kotak Energy Opportunities Fund-Regular-IDCW-Payout & Reinvestment	10.385
Kotak ESG Exclusionary Strategy Fund - Direct Plan - Growth Option	19.178
Kotak ESG Exclusionary Strategy Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option	19.178
Kotak ESG Exclusionary Strategy Fund - Regular Plan - Growth Option	17.728
Kotak ESG Exclusionary Strategy Fund - Regular Plan - Payout of Income Distribution cum capital withdrawal option	17.728
Kotak Healthcare Fund - Direct Plan - Growth Option	14.118
Kotak Healthcare Fund - Direct Plan - IDCW Option	14.117
Kotak Healthcare Fund - Regular Plan - Growth Option	13.688
Kotak Healthcare Fund - Regular Plan - IDCW Option	13.692
Kotak Infrastructure & Economic Reform Fund - Standard Plan-Growth	66.879
Kotak Infrastructure & Economic Reform Fund - Standard Plan-Payout of Income Distribution cum capital withdrawal option	53.488
Kotak Infrastructure & Economic Reform Fund- Direct Plan- Growth Option	79.213
Kotak Infrastructure & Economic Reform Fund- Direct Plan- Payout of Income Distribution cum capital withdrawal option	78.307
Kotak Manufacture in India Fund - Direct Plan Growth	20.804
Kotak Manufacture in India Fund - Direct Plan IDCW Option	20.804
Kotak Manufacture in India Fund - Regular Plan Growth	19.629
Kotak Manufacture in India Fund - Regular Plan IDCW Option	19.628
Kotak MNC Fund-Direct Plan-Growth	10.865
Kotak MNC Fund-Direct Plan-IDCW Option	10.865
Kotak MNC Fund-Regular Plan- Growth	10.708
KotaK MNC Fund-Regular Plan-IDCW OPTION	10.707
Kotak Pioneer Fund- Direct Plan- Growth Option	35.677
Kotak Pioneer Fund- Regular Plan- Growth Option	32.472
Kotak Pioneer Fund- Regular Plan- Reinvestment of Income Distribution cum capital withdrawal option	32.487
Kotak Pioneer Fund-Direct Plan-Reinvestment of Income Distribution cum capital withdrawal option	35.672
Kotak Quant Fund - Direct Plan - Growth Option	15.41
Kotak Quant Fund - Direct plan - IDCW Payout	15.41
Kotak Quant Fund - Regular Plan - Growth Option	15.303
Kotak Quant Fund - Regular Plan - IDCW Payout	15.186
Kotak Special Opportunities Fund - Direct Plan - Growth Option	10.133
Kotak Special Opportunities Fund - Direct Plan - IDCW Payout Option	10.134
Kotak Special Opportunities Fund - Regular Plan - Growth Option	9.947
Kotak Special Opportunities Fund - Regular Plan - IDCW Option	9.946
Kotak Technology Fund - Direct Plan - Growth Option	11.8
Kotak Technology Fund - Direct Plan - IDCW Option	11.799
Kotak Technology Fund - Regular Plan - Growth Option	11.522
Kotak Technology Fund - Regular Plan - IDCW Option	11.522
Kotak Transportation & Logistics Fund-Direct -IDCW-PAYOUT & REINVESTMENT	11.775
Kotak Transportation & Logistics Fund-Direct Growth	11.776
Kotak Transportation & Logistics Fund-Regular-Growth	11.615
Kotak Transportation & Logistics Fund-Regular-IDCW Payout & Reinvestment	11.616
LIC MF Banking and Financial Services Fund-Direct Plan-Growth	24.9452
LIC MF Banking and Financial Services Fund-Direct Plan-IDCW	24.7774
LIC MF Banking and Financial Services Fund-Regular Plan-Growth	22.023
LIC MF Banking and Financial Services Fund-Regular Plan-IDCW	22.0192
LIC MF Healthcare Fund-Direct Plan-Growth	32.7223
LIC MF Healthcare Fund-Direct Plan-IDCW	32.7137
LIC MF Healthcare Fund-Regular Plan-Growth	29.8769
LIC MF Healthcare Fund-Regular Plan-IDCW	29.8774
LIC MF Infrastructure Fund-Direct Plan-Growth	57.9193
LIC MF Infrastructure Fund-Direct Plan-IDCW	56.871
LIC MF Infrastructure Fund-Regular Plan-Growth	50.4758
LIC MF Infrastructure Fund-Regular Plan-IDCW	50.4771
LIC MF Manufacturing Fund-Direct Plan-Growth	10.376
LIC MF Manufacturing Fund-Direct Plan-IDCW	10.376
LIC MF Manufacturing Fund-Regular Plan-Growth	10.1919
LIC MF Manufacturing Fund-Regular Plan-IDCW	10.1919
Mahindra Manulife Business Cycle Fund - Direct Plan - Growth	15.6583
Mahindra Manulife Business Cycle Fund - Direct Plan - IDCW	14.4628
Mahindra Manulife Business Cycle Fund - Regular Plan - IDCW	13.9095
Mahindra Manulife Business Cycle Fund-  Regular Plan - Growth	15.0923
Mahindra Manulife Consumption Fund - Direct Plan - IDCW	20.4187
Mahindra Manulife Consumption Fund - Direct Plan -Growth	26.4242
Mahindra Manulife Consumption Fund - Regular Plan - IDCW	17.6891
Mahindra Manulife Consumption Fund- Regular Plan - Growth	23.4663
Mahindra Manulife Manufacturing Fund - Direct Plan - Growth	10.1888
Mahindra Manulife Manufacturing Fund - Direct Plan - IDCW	10.1888
Mahindra Manulife Manufacturing Fund - Regular Plan - Growth	9.9732
Mahindra Manulife Manufacturing Fund - Regular Plan - IDCW	9.9732
Mahindra Manulife Banking & Financial Services Fund - Direct - Growth	10.4818
Mahindra Manulife Banking & Financial Services Fund - Direct - IDCW	10.4816
Mahindra Manulife Banking & Financial Services Fund - Regular - Growth	10.4305
Mahindra Manulife Banking & Financial Services Fund - Regular - IDCW	10.4305
Mirae Asset Banking and Financial Services Fund Direct  IDCW	23.101
Mirae Asset Banking and Financial Services Fund Direct Growth	23.196
Mirae Asset Banking and Financial Services Fund Regular Growth	21.490
Mirae Asset Banking and Financial Services Fund Regular IDCW	21.517
Mirae Asset Great Consumer Fund - Direct Plan - Growth	117.012
Mirae Asset Great Consumer Fund - Regular Plan - Growth option	97.799
Mirae Asset Great Consumer Fund Direct IDCW	70.257
Mirae Asset Great Consumer Fund Regular IDCW	27.400
Mirae Asset Healthcare Fund -Regular Growth	38.872
Mirae Asset Healthcare Fund Direct Growth	43.509
Mirae Asset Healthcare Fund Direct IDCW	28.584
Mirae Asset Healthcare Fund Regular IDCW	24.956
Motilal Oswal Active Momentum Fund - Regular- IDCW	12.1761
Motilal Oswal Active Momentum Fund- Direct-Growth	12.1830
Motilal Oswal Active Momentum Fund- Direct-IDCW	12.1828
Motilal Oswal Active Momentum Fund- Regular- Growth	12.1757
Motilal Oswal Business Cycle Fund - Direct Plan- Growth	13.3190
Motilal Oswal Business Cycle Fund - Direct Plan- IDCW	13.3182
Motilal Oswal Business Cycle Fund-Regular Plan-Growth	13.0851
Motilal Oswal Business Cycle Fund-Regular Plan-IDCW	13.0852
Motilal Oswal Digital India Fund - Direct Plan - Growth	10.5746
Motilal Oswal Digital India Fund - Direct Plan- IDCW	10.5743
Motilal Oswal Digital India Fund - Regular Plan - IDCW	10.4210
Motilal Oswal Digital India Fund - Regular Plan- Growth	10.4209
Motilal Oswal Infrastructure Fund-Direct-Growth	12.4786
Motilal Oswal Infrastructure Fund-Direct-IDCW	12.4786
Motilal Oswal Infrastructure Fund-Regular-Growth	12.4727
Motilal Oswal Infrastructure Fund-Regular-IDCW	12.4727
Motilal Oswal Innovation Opportunities Fund - Direct Plan- Growth	13.2535
Motilal Oswal Innovation Opportunities Fund - Direct Plan- IDCW	13.2526
Motilal Oswal Innovation Opportunities Fund- Regular Plan- Growth	13.1334
Motilal Oswal Innovation Opportunities Fund- Regular Plan- IDCW	13.1336
Motilal Oswal Manufacturing Fund - Direct Plan - IDCW	11.8428
Motilal Oswal Manufacturing Fund - Direct Plan- Growth	11.8435
Motilal Oswal Manufacturing Fund - Regular Plan - IDCW	11.6373
Motilal Owsal Manufacturing Fund - Regular Plan - Growth	11.6375
Motilal Oswal Quant Fund - Direct - Growth	10.4075
Motilal Oswal Quant Fund - Direct - IDCW	9.7870
Motilal Oswal Quant Fund - Regular - Growth	9.8305
Motilal Oswal Quant Fund - Regular - IDCW	9.0633
Motilal Oswal Services Fund - Direct Plan - Growth	10.9507
Motilal Oswal Services Fund - Direct Plan - IDCW	10.9507
Motilal Oswal Services Fund - Regular Plan - Growth	10.9461
Motilal Oswal Services Fund - Regular Plan - IDCW	10.9461
