Scheme Name	Net Asset Value
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.0343
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.9713
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3325
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.3849
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.4188
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.1638
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.1409
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9113
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.872
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.2479
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6666
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2339
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2697
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.4494
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3632
Axis Corporate Bond Fund - Direct Plan Growth	18.5212
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2331
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2620
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.4957
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2445
Axis Corporate Bond Fund - Regular Plan Growth	17.4676
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7263
BANDHAN Corporate Bond Fund - Direct Growth	20.2121
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.5748
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.4022
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4093
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6551
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.6997
BANDHAN Corporate Bond Fund - Regular Growth	19.6087
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	10.9708
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6550
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2188
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.6893
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.7278
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.5803
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4781
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.4714
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.9879
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.9074
